question,label
Is Rome more populated than Paris?,"{""answerText"": ""Yes"", ""category"": ""geography"", ""complexityType"": ""comparative""}"
Who's the protagonist of the Halo series?,"{""answerText"": ""Master Chief"", ""category"": ""videogames"", ""complexityType"": ""generic""}"
What is the population in the capital city of Canada?,"{""answerText"": ""994,837"", ""category"": ""geography"", ""complexityType"": ""multihop""}"
Who was the leading rusher for the team that won Super Bowl XVIII?,"{""answerText"": ""Marcus Allen"", ""category"": ""sports"", ""complexityType"": ""multihop""}"
What is the second book of the Harry Potter series?,"{""answerText"": ""Harry Potter and the Chamber of Secrets"", ""category"": ""books"", ""complexityType"": ""ordinal""}"
How many presidents in a wheelchair has the United States had?,"{""answerText"": ""1"", ""category"": ""politics"", ""complexityType"": ""count""}"
Who is the 46th president of the United States?,"{""answerText"": ""Joe Biden"", ""category"": ""politics"", ""complexityType"": ""ordinal""}"
Which NBA player played for the Miami Heat and was in the 2020 Summer Olympics?,"{""answerText"": ""Bam Adebayo"", ""category"": ""sports"", ""complexityType"": ""intersection""}"
When was the first Captain Underpants published?,"{""answerText"": ""1997"", ""category"": ""books"", ""complexityType"": ""ordinal""}"
What is the capital of the country with the fifth largest land area in Europe?,"{""answerText"": ""Stockholm"", ""category"": ""geography"", ""complexityType"": ""multihop""}"
What year did Lil Wayne's Rebirth album get released?,"{""answerText"": ""February 2nd 2010"", ""category"": ""music"", ""complexityType"": ""generic""}"
Which movie franchise does Black Panther belong to?,"{""answerText"": ""Marvel Comics"", ""category"": ""movies"", ""complexityType"": ""generic""}"
Did the first Harry Potter book come out before the first Twilight book?,"{""answerText"": ""Yes"", ""category"": ""books"", ""complexityType"": ""comparative""}"
How many children does Han Solo have in Star Wars?,"{""answerText"": ""3"", ""category"": ""movies"", ""complexityType"": ""count""}"
"Which war lasted longer, the Vietnam War or the Civil War?","{""answerText"": ""Vietnam War"", ""category"": ""history"", ""complexityType"": ""comparative""}"
Who was the fifth king of Israel?,"{""answerText"": ""King Zimri"", ""category"": ""history"", ""complexityType"": ""ordinal""}"
How many games are in the Call of Duty series?,"{""answerText"": ""4"", ""category"": ""videogames"", ""complexityType"": ""count""}"
"Which member of the Bush family was governor of Florida from 1999-2007, but not successful in his bid for president of the United States?","{""answerText"": ""Jeb Bush"", ""category"": ""politics"", ""complexityType"": ""difference""}"
Who is the wife of the 44th president of the United States?,"{""answerText"": ""Michelle Obama"", ""category"": ""politics"", ""complexityType"": ""multihop""}"
What are two Olympic sports that female athletes can participate in and men cannot participate in?,"{""answerText"": ""Gymnastics and figure-swimming"", ""category"": ""sports"", ""complexityType"": ""intersection""}"
Who was the only 20th century Democratic Party president not to win re-election?,"{""answerText"": ""Jimmy Carter"", ""category"": ""history"", ""complexityType"": ""difference""}"
Was Tom Cruise in 8 Mile?,"{""answerText"": ""No"", ""category"": ""movies"", ""complexityType"": ""yesno""}"
"Which state has less land size, Utah or Oregon?","{""answerText"": ""Utah"", ""category"": ""geography"", ""complexityType"": ""comparative""}"
Who was the first Ptolemaic ruler of Egypt?,"{""answerText"": ""ptolemy i soter"", ""category"": ""history"", ""complexityType"": ""ordinal""}"
What Half-Life game lets you play as Gordon Freeman and was released in 2004?,"{""answerText"": ""Half-Life 2"", ""category"": ""videogames"", ""complexityType"": ""intersection""}"
What is the tallest point in the 3rd smallest country in Europe?,"{""answerText"": ""Monte Titano"", ""category"": ""geography"", ""complexityType"": ""multihop""}"
Which members of the Backstreet Boys were not a part of the original group?,"{""answerText"": ""Brian Littrell, Kevin Richardson"", ""category"": ""music"", ""complexityType"": ""difference""}"
In what year did Atari make its debut?,"{""answerText"": ""1972"", ""category"": ""videogames"", ""complexityType"": ""generic""}"
The area where the Aztecs were located is called what today?,"{""answerText"": ""Mexico"", ""category"": ""history"", ""complexityType"": ""generic""}"
Did Judy Blume write children's books?,"{""answerText"": ""Yes"", ""category"": ""books"", ""complexityType"": ""yesno""}"
How many US presidents were members of the Whig Party?,"{""answerText"": ""4"", ""category"": ""politics"", ""complexityType"": ""count""}"
What was the longest battle of World War I?,"{""answerText"": ""The Battle of Verdun"", ""category"": ""history"", ""complexityType"": ""superlative""}"
Did Stephen Curry lead the NBA in PPG for the 2020-2021 NBA season?,"{""answerText"": ""Yes"", ""category"": ""sports"", ""complexityType"": ""yesno""}"
Which Iron Man movie is Don Cheadle not in?,"{""answerText"": ""Iron Man"", ""category"": ""movies"", ""complexityType"": ""difference""}"
Who is the once politically elected son of the 52nd governor of New York?,"{""answerText"": ""Andrew Cuomo"", ""category"": ""history"", ""complexityType"": ""multihop""}"
When was Jessica Chastain nominated for her first Oscar?,"{""answerText"": ""2011"", ""category"": ""movies"", ""complexityType"": ""ordinal""}"
Was Jimi Hendrix a rock or heavy metal musician?,"{""answerText"": ""rock"", ""category"": ""music"", ""complexityType"": ""generic""}"
What is the record label owned by Drake?,"{""answerText"": ""OVO Sound"", ""category"": ""music"", ""complexityType"": ""generic""}"
Is cycling part of the triathlon?,"{""answerText"": ""Yes"", ""category"": ""sports"", ""complexityType"": ""yesno""}"
"Which team won more Super Bowls, the NY Giants or the NY Jets?","{""answerText"": ""Giants"", ""category"": ""sports"", ""complexityType"": ""comparative""}"
Who was Napoleon Bonaparte's second wife?,"{""answerText"": ""Marie Louise"", ""category"": ""history"", ""complexityType"": ""ordinal""}"
Was Brie Larson ever a pop star?,"{""answerText"": ""Yes"", ""category"": ""music"", ""complexityType"": ""yesno""}"
What books in the series Diary of a Wimpy Kid were not adapted into a movie?,"{""answerText"": ""The Last Straw, The Ugly Truth, Cabin Fever, The Third Wheel, Hard Luck, Old School, Double Down, The Getaway, The Meltdown, Wrecking Ball, The Deep End, Big Shot"", ""category"": ""books"", ""complexityType"": ""difference""}"
How many Half-Life games are there?,"{""answerText"": ""2"", ""category"": ""videogames"", ""complexityType"": ""count""}"
How old was Harper Lee when she died?,"{""answerText"": ""89"", ""category"": ""books"", ""complexityType"": ""generic""}"
Who is the first president to be impeached?,"{""answerText"": ""Andrew Johnson"", ""category"": ""politics"", ""complexityType"": ""ordinal""}"
What was Dennis DeYoung's first solo album?,"{""answerText"": ""Desert Moon"", ""category"": ""music"", ""complexityType"": ""generic""}"
How old was the second Roman emperor when he died?,"{""answerText"": ""78"", ""category"": ""history"", ""complexityType"": ""multihop""}"
What year did Queen first start performing?,"{""answerText"": ""1970"", ""category"": ""music"", ""complexityType"": ""ordinal""}"
Is Steph Curry's number 31?,"{""answerText"": ""Yes"", ""category"": ""sports"", ""complexityType"": ""yesno""}"
What was Sublime's first album called?,"{""answerText"": ""4 Oz. to Freedom"", ""category"": ""music"", ""complexityType"": ""ordinal""}"
Was George H.W. Bush re-elected in 1992?,"{""answerText"": ""No"", ""category"": ""politics"", ""complexityType"": ""yesno""}"
Who is the only man to win the most Best Actor Oscars?,"{""answerText"": ""Daniel Day-Lewis"", ""category"": ""movies"", ""complexityType"": ""superlative""}"
"In The Alchemist, is Santiago a shepherd?","{""answerText"": ""Yes"", ""category"": ""books"", ""complexityType"": ""yesno""}"
How many times did Barack Obama win the state of Indiana for the presidency?,"{""answerText"": ""1"", ""category"": ""politics"", ""complexityType"": ""count""}"
What's the population of the state where Yosemite National Park is located?,"{""answerText"": ""39.51 million"", ""category"": ""geography"", ""complexityType"": ""multihop""}"
Who is the youngest boxer to win a heavyweight title?,"{""answerText"": ""Mike Tyson"", ""category"": ""sports"", ""complexityType"": ""superlative""}"
Who was a U.S. president and a Chief Justice of the Supreme Court?,"{""answerText"": ""William Howard Taft"", ""category"": ""politics"", ""complexityType"": ""intersection""}"
Was the Ottoman Empire founded before 1400 AD?,"{""answerText"": ""Yes"", ""category"": ""history"", ""complexityType"": ""comparative""}"
Who is the lead singer of Ninja Sex Party?,"{""answerText"": ""Daniel Avidan"", ""category"": ""movies"", ""complexityType"": ""generic""}"
Who was the longest serving Chief Justice?,"{""answerText"": ""John Marshal"", ""category"": ""politics"", ""complexityType"": ""superlative""}"
Who was the manager of the team that won the 1961 World Series?,"{""answerText"": ""Ralph Houk"", ""category"": ""sports"", ""complexityType"": ""multihop""}"
Who is the leader of Paraguay?,"{""answerText"": ""Mario Abdo Benitez"", ""category"": ""politics"", ""complexityType"": ""generic""}"
How many NBA championships has Kobe Bryant won?,"{""answerText"": ""5"", ""category"": ""sports"", ""complexityType"": ""generic""}"
Who was the last emperor of Japan?,"{""answerText"": ""Hirohito"", ""category"": ""history"", ""complexityType"": ""ordinal""}"
Did Pink Floyd's Wish You Were Here come out the same year as Bob Dylan's Blood on the Tracks?,"{""answerText"": ""Yes"", ""category"": ""music"", ""complexityType"": ""comparative""}"
How many presidents served in the Union Army?,"{""answerText"": ""6"", ""category"": ""politics"", ""complexityType"": ""count""}"
How many members are currently in Weezer?,"{""answerText"": ""4"", ""category"": ""music"", ""complexityType"": ""count""}"
"What is the name of Sora's love interest ""Nobody""?","{""answerText"": ""Namin\u00e9"", ""category"": ""videogames"", ""complexityType"": ""multihop""}"
What year was Jane Austin born?,"{""answerText"": ""1775"", ""category"": ""books"", ""complexityType"": ""generic""}"
When did Tim Duncan win his first NBA championship?,"{""answerText"": ""1999"", ""category"": ""sports"", ""complexityType"": ""ordinal""}"
Did the War in Korea come before WW II?,"{""answerText"": ""No"", ""category"": ""history"", ""complexityType"": ""comparative""}"
"Who is older, 50 Cent or Eminem?","{""answerText"": ""Eminem"", ""category"": ""music"", ""complexityType"": ""comparative""}"
Who is the quarterback for the Arizona Cardinals?,"{""answerText"": ""Kyler Murray"", ""category"": ""sports"", ""complexityType"": ""generic""}"
When did Kobe Bryant win his first NBA championship?,"{""answerText"": ""2000"", ""category"": ""sports"", ""complexityType"": ""ordinal""}"
What actor has the most nominations for an Academy Award?,"{""answerText"": ""Meryl Streep"", ""category"": ""movies"", ""complexityType"": ""generic""}"
How many times has the actor who played Spider-Man (2002) been married?,"{""answerText"": ""1"", ""category"": ""movies"", ""complexityType"": ""multihop""}"
What was the third Fast & Furious movie chronologically?,"{""answerText"": ""The Fast and the Furious: Tokyo Drift (2006)"", ""category"": ""movies"", ""complexityType"": ""ordinal""}"
What was Usher's first studio album?,"{""answerText"": ""Usher"", ""category"": ""music"", ""complexityType"": ""ordinal""}"
What is the smallest country the Rhine flows through?,"{""answerText"": ""Liechtenstein"", ""category"": ""geography"", ""complexityType"": ""multihop""}"
Who was the original lead singer for Slayer?,"{""answerText"": ""Tomas Enrique Araya Diaz"", ""category"": ""music"", ""complexityType"": ""generic""}"
"Which West Point graduate, class of 1861, was commissioned a Brigadier General at the age of 23?","{""answerText"": ""George A. Custer"", ""category"": ""history"", ""complexityType"": ""intersection""}"
Which team did LeBron James not win against in the 2007 finals?,"{""answerText"": ""Cavs"", ""category"": ""sports"", ""complexityType"": ""difference""}"
Who won a Pulitzer Prize for a rap album in 2018?,"{""answerText"": ""Kendrick Lamar"", ""category"": ""music"", ""complexityType"": ""generic""}"
What was the third movie Johnny Depp appeared in?,"{""answerText"": ""Platoon"", ""category"": ""movies"", ""complexityType"": ""ordinal""}"
Which Harry Potter book was the shortest?,"{""answerText"": ""Harry Potter and the Sorcerer's Stone"", ""category"": ""books"", ""complexityType"": ""superlative""}"
Did Metroid Prime come out before 2020?,"{""answerText"": ""Yes"", ""category"": ""videogames"", ""complexityType"": ""comparative""}"
Was the first Sonic game released before 1994?,"{""answerText"": ""Yes"", ""category"": ""videogames"", ""complexityType"": ""comparative""}"
"Which revolution happened before, the French Revolution or the Industrial Revolution?","{""answerText"": ""The French revolution"", ""category"": ""history"", ""complexityType"": ""comparative""}"
What year did the first Women's Murder Club book come out?,"{""answerText"": ""2001"", ""category"": ""books"", ""complexityType"": ""generic""}"
Which former Florida State Seminole football player also played for the New York Yankees and the Atlanta Falcons?,"{""answerText"": ""Deion Sanders"", ""category"": ""sports"", ""complexityType"": ""intersection""}"
Is Hillary Clinton older than Joe Biden?,"{""answerText"": ""No"", ""category"": ""politics"", ""complexityType"": ""comparative""}"
Which book in the Discworld series was released in 2001?,"{""answerText"": ""Thief of Time"", ""category"": ""books"", ""complexityType"": ""intersection""}"
What year did George W. Bush start his second term?,"{""answerText"": ""2004"", ""category"": ""politics"", ""complexityType"": ""ordinal""}"
Which Stephen King book is the shortest?,"{""answerText"": ""The Cycle of the Werewolf"", ""category"": ""books"", ""complexityType"": ""superlative""}"
Who was the longest running Congress person from Michigan?,"{""answerText"": ""John David Dingell Jr."", ""category"": ""politics"", ""complexityType"": ""superlative""}"
What SoulCalibur game was released for GameCube in 2002 and featured Link from The Legend of Zelda?,"{""answerText"": ""SoulCalibur II"", ""category"": ""videogames"", ""complexityType"": ""intersection""}"
What is Stephen King's longest book?,"{""answerText"": ""The Stand"", ""category"": ""books"", ""complexityType"": ""generic""}"
Which Iron Man movie does Terrance Howard not appear in?,"{""answerText"": ""Iron Man 2, Iron Man 3"", ""category"": ""movies"", ""complexityType"": ""difference""}"
Was Giannis Antetokounmpo the MVP 2020 for the NBA?,"{""answerText"": ""No"", ""category"": ""sports"", ""complexityType"": ""yesno""}"
What was the cause of death of F.D.R?,"{""answerText"": ""Stroke"", ""category"": ""politics"", ""complexityType"": ""generic""}"
Where is the band known for the rock song Stairway to Heaven from?,"{""answerText"": ""London, United Kingdom"", ""category"": ""music"", ""complexityType"": ""multihop""}"
How many Electoral Votes did Barack Obama win in 2012?,"{""answerText"": ""332"", ""category"": ""politics"", ""complexityType"": ""generic""}"
Which university did the actor that played Gandalf go to?,"{""answerText"": ""University of Cambridge"", ""category"": ""movies"", ""complexityType"": ""multihop""}"
Which of the two Poles does not have penguins?,"{""answerText"": ""North"", ""category"": ""geography"", ""complexityType"": ""difference""}"
How many Olympic medals does Nastia Liukin have that are not silver?,"{""answerText"": ""2"", ""category"": ""sports"", ""complexityType"": ""difference""}"
What continent was the ancient Egypt civilization located on?,"{""answerText"": ""Africa"", ""category"": ""history"", ""complexityType"": ""generic""}"
Who was a famous child actress and a United States Ambassador to Czechoslovakia and Ghana?,"{""answerText"": ""Shirley Temple"", ""category"": ""history"", ""complexityType"": ""intersection""}"
Did Robert Langdon appear in three different Dan Brown books?,"{""answerText"": ""Yes"", ""category"": ""books"", ""complexityType"": ""yesno""}"
In what year was Ice-T born?,"{""answerText"": ""1958"", ""category"": ""music"", ""complexityType"": ""generic""}"
Was the original Xbox able to play DVDs?,"{""answerText"": ""Yes"", ""category"": ""videogames"", ""complexityType"": ""yesno""}"
Which major tournament did Tiger Woods win first?,"{""answerText"": ""Masters"", ""category"": ""sports"", ""complexityType"": ""ordinal""}"
Which Fire type Pokemon could not be caught in the wild in Pokemon Yellow?,"{""answerText"": ""Magmar"", ""category"": ""videogames"", ""complexityType"": ""difference""}"
How many Olympics has Ally Raisman been in?,"{""answerText"": ""2"", ""category"": ""sports"", ""complexityType"": ""count""}"
Did Baylor win the NCAA March Madness tournament this year?,"{""answerText"": ""Yes"", ""category"": ""sports"", ""complexityType"": ""yesno""}"
"Who was a wife of King Henry VIII and also a daughter of John III, Duke of Cleves?","{""answerText"": ""Anne of Cleves"", ""category"": ""history"", ""complexityType"": ""intersection""}"
Which mountain range can be found in Eastern Europe but not Western Europe?,"{""answerText"": ""Caucasus"", ""category"": ""geography"", ""complexityType"": ""difference""}"
Who was the last emperor of Russia?,"{""answerText"": ""Nicholas II"", ""category"": ""history"", ""complexityType"": ""ordinal""}"
Who is Jaime Lee Curtis's father?,"{""answerText"": ""Tony Curtis"", ""category"": ""movies"", ""complexityType"": ""generic""}"
What is the name of the fourth game in the Grand Theft Auto series?,"{""answerText"": ""Grand Theft Auto: Vice City"", ""category"": ""videogames"", ""complexityType"": ""ordinal""}"
Is Montreal the capital of Canada?,"{""answerText"": ""No"", ""category"": ""geography"", ""complexityType"": ""yesno""}"
Which Kaiser of the German Empire did not have a successor?,"{""answerText"": ""Wilhelm II"", ""category"": ""history"", ""complexityType"": ""difference""}"
Where does the Number One Ladies' Detective Agency take place?,"{""answerText"": ""Botswana"", ""category"": ""books"", ""complexityType"": ""generic""}"
How many years does a senator serve?,"{""answerText"": ""Six years"", ""category"": ""politics"", ""complexityType"": ""generic""}"
"Who is older, Drake or Lil Wayne?","{""answerText"": ""Lil Wayne"", ""category"": ""music"", ""complexityType"": ""comparative""}"
What was Hunter Thompson's second book?,"{""answerText"": ""Fear and Loathing in Las Vegas"", ""category"": ""books"", ""complexityType"": ""ordinal""}"
How many members are there in The Jonas Brothers?,"{""answerText"": ""3"", ""category"": ""music"", ""complexityType"": ""count""}"
What is the tallest mountain in the state that was the setting of the series Twin Peaks?,"{""answerText"": ""Mount Rainier"", ""category"": ""geography"", ""complexityType"": ""multihop""}"
Who is the current president of the United States?,"{""answerText"": ""Joe Biden"", ""category"": ""politics"", ""complexityType"": ""generic""}"
How many Grammy Awards did Lil Baby win in 2020?,"{""answerText"": ""2"", ""category"": ""music"", ""complexityType"": ""count""}"
Where did Napoleon surrender?,"{""answerText"": ""Battle of Waterloo"", ""category"": ""history"", ""complexityType"": ""generic""}"
Who was a sibling of Isaac Newton's and also not a female?,"{""answerText"": ""Benjamin Smith"", ""category"": ""history"", ""complexityType"": ""difference""}"
Who is the singer in Blackpink who came from Thailand?,"{""answerText"": ""Lisa"", ""category"": ""music"", ""complexityType"": ""intersection""}"
"Which 2021 Emmy award was Cobra Kai nominated for, but did not win?","{""answerText"": ""Outstanding Comedy Series"", ""category"": ""movies"", ""complexityType"": ""difference""}"
Have Jay-Z and Garth Brooks ever collaborated on a song?,"{""answerText"": ""No"", ""category"": ""music"", ""complexityType"": ""yesno""}"
Did Genghis Khan travel to America?,"{""answerText"": ""No"", ""category"": ""history"", ""complexityType"": ""yesno""}"
How many romance options are in Mass Effect?,"{""answerText"": ""3"", ""category"": ""videogames"", ""complexityType"": ""count""}"
When did the lead singer of Nirvana Die?,"{""answerText"": ""5-Apr-94"", ""category"": ""music"", ""complexityType"": ""multihop""}"
Which team plays at Gainbridge FieldHouse and used to have Reggie Miller?,"{""answerText"": ""The Indiana Pacers"", ""category"": ""sports"", ""complexityType"": ""intersection""}"
How many members were in Kraftwerk?,"{""answerText"": ""4"", ""category"": ""music"", ""complexityType"": ""count""}"
Which game is in the Final Fantasy series and has Ultima as the main villain?,"{""answerText"": ""Final Fantasy Tactics"", ""category"": ""videogames"", ""complexityType"": ""intersection""}"
How many countries are in Africa?,"{""answerText"": ""54"", ""category"": ""politics"", ""complexityType"": ""generic""}"
Which Super Mario Bros. NES game was not originally a Mario game?,"{""answerText"": ""Super Mario Bros. 2"", ""category"": ""videogames"", ""complexityType"": ""difference""}"
Does Catherine die in Wuthering Heights?,"{""answerText"": ""Yes"", ""category"": ""books"", ""complexityType"": ""yesno""}"
Are there any mountain ranges in the United States?,"{""answerText"": ""Yes"", ""category"": ""geography"", ""complexityType"": ""yesno""}"
What is the longest river in the United States that is not named after the state where it begins?,"{""answerText"": ""Mississippi"", ""category"": ""geography"", ""complexityType"": ""difference""}"
How many presidents have served more than two terms?,"{""answerText"": ""1"", ""category"": ""politics"", ""complexityType"": ""count""}"
Which Star Wars book was not released after the first movie?,"{""answerText"": ""Star Wars: From the Adventures of Luke Skywalker"", ""category"": ""books"", ""complexityType"": ""difference""}"
"Which series had its first game released earlier, Zelda or Final Fantasy?","{""answerText"": ""Zelda"", ""category"": ""videogames"", ""complexityType"": ""comparative""}"
Who has won more Grammy Awards than any other engineer or mixer?,"{""answerText"": ""Al Schmitt"", ""category"": ""music"", ""complexityType"": ""superlative""}"
Which king of England was never officially crowned?,"{""answerText"": ""Edward"", ""category"": ""history"", ""complexityType"": ""difference""}"
Who was the pilot of Lunar Module during the first Apollo Mission?,"{""answerText"": ""Buzz Aldin"", ""category"": ""history"", ""complexityType"": ""multihop""}"
Which basketball team won the championships of 2018 and won the Championships of 2015?,"{""answerText"": ""Golden State Warriors"", ""category"": ""sports"", ""complexityType"": ""intersection""}"
"Metallica has released several albums, but only one song occurs where James Hetfield and was the only one to receive writing credits, what song was that?","{""answerText"": ""Motorbreath"", ""category"": ""music"", ""complexityType"": ""generic""}"
How old do you have to be to be a senator of the United States?,"{""answerText"": ""30 years old"", ""category"": ""politics"", ""complexityType"": ""generic""}"
"Which Axis Power had atomic bombs dropped on it, Italy or Japan?","{""answerText"": ""Japan"", ""category"": ""history"", ""complexityType"": ""comparative""}"
What is the first Summon Materia you get in Final Fantasy VII Remake?,"{""answerText"": ""Ifrit"", ""category"": ""videogames"", ""complexityType"": ""ordinal""}"
What is the only game in the Legend of Zelda series to release on the Super Nintendo?,"{""answerText"": ""The Legend of Zelda: A Link to the Past"", ""category"": ""videogames"", ""complexityType"": ""intersection""}"
Which of the Dexter series books were not used in the TV adaptation?,"{""answerText"": ""Dearly Devoted Dexter, Dexter in the Dark, Dexter by Design, Dexter is Delicious, Double Dexter, Dexter's Final Cut, Dexter is Dead"", ""category"": ""books"", ""complexityType"": ""difference""}"
How many members were in NSYNC?,"{""answerText"": ""5"", ""category"": ""music"", ""complexityType"": ""count""}"
What year was the former president of Iraq who took office in 1979 hung?,"{""answerText"": ""2006"", ""category"": ""history"", ""complexityType"": ""multihop""}"
What is the first Lana Del Rey album called?,"{""answerText"": ""Lana Del Ray"", ""category"": ""music"", ""complexityType"": ""ordinal""}"
Who was the first president of the United States and also attacked the Hessian military base on Christmas Day?,"{""answerText"": ""George Washington"", ""category"": ""history"", ""complexityType"": ""intersection""}"
The third Witcher game started off in which location?,"{""answerText"": ""White Orchard"", ""category"": ""videogames"", ""complexityType"": ""ordinal""}"
How many American Music Awards does Taylor Swift have?,"{""answerText"": ""29"", ""category"": ""music"", ""complexityType"": ""generic""}"
How many kids does Kim Kardashian have?,"{""answerText"": ""4 kids"", ""category"": ""movies"", ""complexityType"": ""generic""}"
